name,coverage_2020,annual_change,projected_2030,region,2030_status
Jordan,98.94030296,-0.013296389999999292,98.80733906,Middle East & North Africa,Very High Access
Bahamas,98.8869605,0.0,98.8869605,Latin America & Caribbean,Very High Access
Trinidad and Tobago,98.87517077,0.14779862400000068,100.0,Latin America & Caribbean,Universal Access
Montenegro,98.85691652,0.2931242300000008,100.0,Europe & Central Asia,Universal Access
Latvia,98.78260115,0.051496774000000294,99.29756889000001,Europe & Central Asia,Universal Access
Tonga,98.73108083,0.03627509599999995,99.09383179,East Asia & Pacific,Universal Access
United States Virgin Islands,98.71826738,-1.086000000327658e-06,98.71825652,Latin America & Caribbean,Very High Access
Saint Kitts and Nevis,98.61185413,0.0,98.61185413,Latin America & Caribbean,Very High Access
Barbados,98.51445042,0.00800113600000145,98.59446178000002,Latin America & Caribbean,Very High Access
Belize,98.40195463,0.24527193000000116,100.0,Latin America & Caribbean,Universal Access
Iraq,98.35990325,0.8224619899999993,100.0,Middle East & North Africa,Universal Access
Montserrat,98.07748262,0.0013324119999992945,98.09080673999999,Latin America & Caribbean,Very High Access
Lithuania,98.01334724,0.28184173200000084,100.0,Europe & Central Asia,Universal Access
Suriname,97.98963167,0.4483879000000002,100.0,Latin America & Caribbean,Universal Access
El Salvador,97.94657541,0.47688753399999934,100.0,Latin America & Caribbean,Universal Access
West Bank and Gaza Strip,97.88039722,0.3001081020000015,100.0,Europe & Central Asia,Universal Access
Aruba,97.86902338,0.0,97.86902338,Latin America & Caribbean,Very High Access
Uzbekistan,97.82878485,0.06004131800000038,98.42919803000001,Europe & Central Asia,Very High Access
North Macedonia,97.74281579,0.05409659199999907,98.28378170999999,Europe & Central Asia,Very High Access
Bangladesh,97.69796025,0.11927155599999818,98.89067580999998,South Asia,Very High Access
Niue,97.01087618,-0.11905264600000007,95.82034972000002,East Asia & Pacific,Very High Access
Tunisia,97.54330899,0.539570778000001,100.0,Sub-Saharan Africa,Universal Access
Colombia,97.49165711,0.23115779800000097,99.80323508999999,Latin America & Caribbean,Universal Access
Iran (Islamic Republic of),97.48263633,0.13512985000000127,98.83393483000003,South Asia,Very High Access
Anguilla,97.48227425,0.0,97.48227425,Latin America & Caribbean,Very High Access
Ireland,97.39970651,0.005515704000001165,97.45486355000003,Europe & Central Asia,Very High Access
Georgia,97.3481397,0.31868203799999995,100.0,Europe & Central Asia,Universal Access
Bhutan,97.31322263,0.21836000799999908,99.49682271,South Asia,Universal Access
Malaysia,97.09990707,0.009540902000000526,97.19531609,South Asia,Very High Access
Turkey,97.01426916,0.15162200799999823,98.53048924000001,Europe & Central Asia,Very High Access
Cuba,97.00269616,0.2261799379999985,99.26449554000004,Latin America & Caribbean,Universal Access
Russian Federation,96.99254807,0.09307852800000092,97.92333335000001,Europe & Central Asia,Very High Access
Saint Lucia,96.88784457,0.2639500580000003,99.52734514999997,Latin America & Caribbean,Universal Access
Viet Nam,96.88435687,0.7112592580000011,100.0,East Asia & Pacific,Universal Access
Seychelles,96.85174689,0.15021384750000163,98.5040992125,East Asia & Pacific,Very High Access
Mayotte,96.37117971,-0.09332631399999795,95.43791657,Sub-Saharan Africa,Very High Access
Antigua and Barbuda,96.73918628,0.0,96.73918628,Latin America & Caribbean,Very High Access
Dominican Republic,96.68681192,0.11749468399999898,97.86175875999999,Latin America & Caribbean,Very High Access
Belarus,96.53472608,0.011531797999998617,96.65004405999998,Europe & Central Asia,Very High Access
Bosnia and Herzegovina,96.11389762,-0.00918931199999804,96.02200450000001,Europe & Central Asia,Very High Access
Cayman Islands,96.125,0.0,96.125,Latin America & Caribbean,Very High Access
Azerbaijan,96.04337613,0.724612429999999,100.0,Europe & Central Asia,Universal Access
Honduras,95.68922113,0.4869620840000009,100.0,Latin America & Caribbean,Universal Access
Grenada,95.62865044,0.0,95.62865044,Latin America & Caribbean,Very High Access
Guyana,95.55480685,0.07858998000000098,96.34070665000002,Latin America & Caribbean,Very High Access
Kazakhstan,95.43497032,0.08192718200000115,96.25424214000003,Europe & Central Asia,Very High Access
Dominica,95.42065606,0.0,95.42065606,Latin America & Caribbean,Very High Access
Ecuador,95.35976356,0.45919681200000184,99.95173167999997,Latin America & Caribbean,Universal Access
Sint Maarten (Dutch part),95.31117933,0.0,95.31117933,Latin America & Caribbean,Very High Access
Falkland Islands (Malvinas),95.3089274,0.09778414799999949,96.28676888000001,Latin America & Caribbean,Very High Access
Serbia,95.29552932,0.3818144039999993,99.11367336,Europe & Central Asia,Universal Access
Democratic People's Republic of Korea,93.84384303,-0.2742077359999996,91.10176566999996,East Asia & Pacific,Very High Access
Saint Vincent and the Grenadines,95.1452199,0.0,95.1452199,Latin America & Caribbean,Very High Access
Albania,95.06803883,0.3347426980000023,98.41546581,Europe & Central Asia,Very High Access
